Time	RFU(A01)	RFU(A02)	RFU(A03)	RFU(A04)	RFU(A05)	RFU(A06)	RFU(A07)	RFU(A08)	RFU(A09)	RFU(A10)	RFU(A11)	RFU(A12)	C	PlateId	RunProfileEntryIndex	RunNumber	Row
254.48							0.664900							2021-01-07_9776	1	1	A
254.59							0.617000							2021-01-07_9776	1	1	A
254.71							0.556300							2021-01-07_9776	1	1	A
254.83							0.495800							2021-01-07_9776	1	1	A
254.94							0.443600							2021-01-07_9776	1	1	A
255.06							0.402900							2021-01-07_9776	1	1	A
255.18							0.373300							2021-01-07_9776	1	1	A
255.29							0.352500							2021-01-07_9776	1	1	A
255.41							0.339000							2021-01-07_9776	1	1	A
255.53							0.330800							2021-01-07_9776	1	1	A
255.65							0.324000							2021-01-07_9776	1	1	A
255.76							0.316000							2021-01-07_9776	1	1	A
255.88							0.308600							2021-01-07_9776	1	1	A
256.00							0.305700							2021-01-07_9776	1	1	A
256.11							0.306400							2021-01-07_9776	1	1	A
256.23							0.308500							2021-01-07_9776	1	1	A
256.35							0.311600							2021-01-07_9776	1	1	A
256.46							0.315100							2021-01-07_9776	1	1	A
256.58							0.317700							2021-01-07_9776	1	1	A
256.70							0.317700							2021-01-07_9776	1	1	A
256.82							0.315900							2021-01-07_9776	1	1	A
256.93							0.316900							2021-01-07_9776	1	1	A
257.05							0.320800							2021-01-07_9776	1	1	A
257.17							0.327000							2021-01-07_9776	1	1	A
257.28							0.333900							2021-01-07_9776	1	1	A
257.40							0.340400							2021-01-07_9776	1	1	A
257.52							0.346900							2021-01-07_9776	1	1	A
257.63							0.355100							2021-01-07_9776	1	1	A
257.75							0.367400							2021-01-07_9776	1	1	A
257.87							0.385600							2021-01-07_9776	1	1	A
257.99							0.408800							2021-01-07_9776	1	1	A
258.10							0.434700							2021-01-07_9776	1	1	A
258.22							0.461000							2021-01-07_9776	1	1	A
258.34							0.483200							2021-01-07_9776	1	1	A
258.45							0.497400							2021-01-07_9776	1	1	A
258.57							0.501600							2021-01-07_9776	1	1	A
258.69							0.495800							2021-01-07_9776	1	1	A
258.80							0.483900							2021-01-07_9776	1	1	A
258.92							0.469700							2021-01-07_9776	1	1	A
259.04							0.453900							2021-01-07_9776	1	1	A
259.16							0.435400							2021-01-07_9776	1	1	A
259.27							0.415800							2021-01-07_9776	1	1	A
259.39							0.399300							2021-01-07_9776	1	1	A
259.51							0.389300							2021-01-07_9776	1	1	A
259.62							0.384300							2021-01-07_9776	1	1	A
259.74							0.377900							2021-01-07_9776	1	1	A
259.86							0.365300							2021-01-07_9776	1	1	A
259.97							0.348800							2021-01-07_9776	1	1	A
260.09							0.333900							2021-01-07_9776	1	1	A
260.21							0.326100							2021-01-07_9776	1	1	A
260.33							0.324600							2021-01-07_9776	1	1	A
260.44							0.324800							2021-01-07_9776	1	1	A
260.56							0.324000							2021-01-07_9776	1	1	A
260.68							0.321700							2021-01-07_9776	1	1	A
260.79							0.318800							2021-01-07_9776	1	1	A
260.91							0.317500							2021-01-07_9776	1	1	A
261.03							0.319400							2021-01-07_9776	1	1	A
261.14							0.323100							2021-01-07_9776	1	1	A
261.26							0.326300							2021-01-07_9776	1	1	A
261.38							0.326400							2021-01-07_9776	1	1	A
261.50							0.325100							2021-01-07_9776	1	1	A
261.61							0.329200							2021-01-07_9776	1	1	A
261.73							0.342900							2021-01-07_9776	1	1	A
261.85							0.364900							2021-01-07_9776	1	1	A
261.96							0.391700							2021-01-07_9776	1	1	A
262.08							0.422300							2021-01-07_9776	1	1	A
262.20							0.455500							2021-01-07_9776	1	1	A
262.31							0.487700							2021-01-07_9776	1	1	A
262.43							0.514600							2021-01-07_9776	1	1	A
262.55							0.533200							2021-01-07_9776	1	1	A
262.67							0.543200							2021-01-07_9776	1	1	A
262.78							0.543700							2021-01-07_9776	1	1	A
262.90							0.534400							2021-01-07_9776	1	1	A
263.02							0.517300							2021-01-07_9776	1	1	A
263.13							0.494400							2021-01-07_9776	1	1	A
263.25							0.467900							2021-01-07_9776	1	1	A
263.37							0.440900							2021-01-07_9776	1	1	A
263.48							0.414400							2021-01-07_9776	1	1	A
263.60							0.389300							2021-01-07_9776	1	1	A
263.72							0.366400							2021-01-07_9776	1	1	A
263.84							0.348300							2021-01-07_9776	1	1	A
263.95							0.337500							2021-01-07_9776	1	1	A
264.07							0.332900							2021-01-07_9776	1	1	A
264.19							0.332500							2021-01-07_9776	1	1	A
264.30							0.333300							2021-01-07_9776	1	1	A
264.42							0.332500							2021-01-07_9776	1	1	A
264.54							0.329300							2021-01-07_9776	1	1	A
